X: 1, Y: 2, Z: 3
X: 1, Y: 33, Z: 7
X: 1, Y: 2, Z: 3
X: 1, Y: 33, Z: 7
X: 1, Y: 2, Z: 3
X: 1, Y: 33, Z: 7
X: 1, Y: 2, Z: 3
X: 1, Y: 33, Z: 7
X: 1, Y: 2, Z: 3
X: 1, Y: 33, Z: 7
X: 1, Y: 2, Z: 3
X: 1, Y: 33, Z: 7
X: 1, Y: 2, Z: 3
X: 1, Y: 33, Z: 7
X: 1, Y: 2, Z: 3
X: 1, Y: 33, Z: 7
X: 1, Y: 2, Z: 3
X: 1, Y: 33, Z: 7
X: 1, Y: 2, Z: 3
X: 1, Y: 33, Z: 7
X: 1, Y: 2, Z: 3
X: 1, Y: 33, Z: 7
X: 1, Y: 2, Z: 3
X: 1, Y: 33, Z: 7
X: 1, Y: 2, Z: 3
X: 1, Y: 33, Z: 7
X: 1, Y: 2, Z: 3
X: 1, Y: 33, Z: 7
X: 1, Y: 2, Z: 3
X: 1, Y: 33, Z: 7
